Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2511","Blé et produits","2017","2017","Milliers de tonnes","4281","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2511","Blé et produits","2017","2017","Milliers de tonnes","3080","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5072","Variation de stock","2511","Blé et produits","2017","2017","Milliers de tonnes","32","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5911","Exportations - Quantité","2511","Blé et produits","2017","2017","Milliers de tonnes","2","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","7326","S","Données standardisées"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","491","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5527","Semences","2511","Blé et produits","2017","2017","Milliers de tonnes","344","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5123","Pertes","2511","Blé et produits","2017","2017","Milliers de tonnes","642","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5131","Traitement","2511","Blé et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5170","Résidus","2511","Blé et produits","2017","2017","Milliers de tonnes","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","5749","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé et produits","2017","2017","kg","158.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé et produits","2017","2017","Kcal/personne/jour","1358","Fc","Donnée calculée"
